/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
:,따,때,땨,떄,떠,떼,뗘,뗴,또,뚀,뚜,뜌,뜨,띠,똬,뙤,뙈,뚸,뛰,뛔,띄
ㄱ,딱,땍,땩,떅,떡,떽,뗙,뗵,똑,뚁,뚝,뜍,뜩,띡,똭,뙥,뙉,뚹,뛱,뛕,띅
ㄴ,딴,땐,땬,떈,떤,뗀,뗜,뗸,똔,뚄,뚠,뜐,뜬,띤,똰,뙨,뙌,뚼,뛴,뛘,띈
ㄷ,딷,땓,땯,떋,떧,뗃,뗟,뗻,똗,뚇,뚣,뜓,뜯,띧,똳,뙫,뙏,뚿,뛷,뛛,띋
ㄹ,딸,땔,땰,떌,떨,뗄,뗠,뗼,똘,뚈,뚤,뜔,뜰,띨,똴,뙬,뙐,뛀,뛸,뛜,띌
ㅁ,땀,땜,땸,떔,떰,뗌,뗨,똄,똠,뚐,뚬,뜜,뜸,띰,똼,뙴,뙘,뛈,뜀,뛤,띔
ㅂ,땁,땝,땹,떕,떱,뗍,뗩,똅,똡,뚑,뚭,뜝,뜹,띱,똽,뙵,뙙,뛉,뜁,뛥,띕
ㅅ,땃,땟,땻,떗,떳,뗏,뗫,똇,똣,뚓,뚯,뜟,뜻,띳,똿,뙷,뙛,뛋,뜃,뛧,띗
ㅇ,땅,땡,땽,떙,떵,뗑,뗭,똉,똥,뚕,뚱,뜡,뜽,띵,뙁,뙹,뙝,뛍,뜅,뛩,띙
ㅈ,땆,땢,땾,떚,떶,뗒,뗮,똊,똦,뚖,뚲,뜢,뜾,띶,뙂,뙺,뙞,뛎,뜆,뛪,띚
ㅊ,땇,떛,땿,떛,떷,뗓,뗯,똋,똧,뚗,뚳,뜣,뜿,띷,뙃,뙻,뙟,뛏,뜇,뛫,띛
ㅋ,땈,땤,떀,떜,떸,뗔,뗰,똌,똨,뚘,뚴,뜤,띀,띸,뙄,뙼,뙠,뛐,뜈,뛬,띜
ㅌ,땉,땥,떁,떝,떹,뗕,뗱,똍,똩,뚙,뚵,뜥,띁,띹,뙅,뙽,뙡,뛑,뜉,뛭,띝
ㅍ,땊,땦,떂,떞,떺,뗖,뗲,똎,똪,뚚,뚶,뜦,띂,띺,뙆,뙾,뙢,뛒,뜊,뛮,띞
ㅎ,땋,땧,떃,떟,떻,뗗,뗳,똏,똫,뚛,뚷,뜧,띃,띻,뙇,뙿,뙣,뛓,뜋,뛯,띟
ㄲ,딲,땎,땪,떆,떢,떾,뗚,뗶,똒,뚂,뚞,뜎,뜪,띢,똮,뙦,뙊,뚺,뛲,뛖,띆
ㄳ,딳,땏,땫,떇,떣,떿,뗛,뗷,똓,뚃,뚟,뜏,뜫,띣,똯,뙧,뙋,뚻,뛳,뛗,띇
ㄵ,딵,땑,땭,떉,떥,뗁,뗝,뗹,똕,뚅,뚡,뜑,뜭,띥,똱,뙩,뙍,뚽,뛵,뛙,띉
ㄶ,딶,땒,땮,떊,떦,뗂,뗞,뗺,똖,뚆,뚢,뜒,뜮,띦,똲,뙪,뙎,뚾,뛶,뛚,띊
ㄺ,딹,땕,땱,떍,떩,뗅,뗡,뗽,똙,뚉,뚥,뜕,뜱,띩,똵,뙭,뙑,뛁,뛹,뛝,띍
ㄻ,딺,땖,땲,떎,떪,뗆,뗢,뗾,똚,뚊,뚦,뜖,뜲,띪,똶,뙮,뙒,뛂,뛺,뛞,띎
ㄼ,딻,땗,땳,떏,떫,뗇,뗣,뗿,똛,뚋,뚧,뜗,뜳,띫,똷,뙯,뙓,뛃,뛻,뛟,띏
ㄽ,딼,땘,땴,떐,떬,뗈,뗤,똀,똜,뚌,뚨,뜘,뜴,띬,똸,뙰,뙔,뛄,뛼,뛠,띐
ㄾ,딽,땙,땵,떑,떭,뗉,뗥,똁,똝,뚍,뚩,뜙,뜵,띭,똹,뙱,뙕,뛅,뛽,뛡,띑
ㄿ,딾,땚,땶,떒,떮,뗊,뗦,똂,똞,뚍,뚪,뜚,뜶,띮,똺,뙲,뙖,뛆,뛾,뛢,띒
ㅀ,딿,땛,땷,떓,떯,똃,뗧,똃,똟,뚏,뚫,뜛,뜷,띯,똻,뙳,뙗,뛇,뛿,뛣,띓
ㅄ,땂,땞,땺,떖,떲,뗎,뗪,똆,똢,뚒,뚮,뜞,뜺,띲,똾,뙶,뙚,뛊,뜂,뛦,띖
ㅆ,땄,땠,땼,떘,떴,뗐,뗬,똈,똤,뚔,뚰,뜠,뜼,띴,뙀,뙸,뙜,뛋,뜄,뛨,띘
