/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
:,빠,빼,뺘,뺴,뻐,뻬,뼈,뼤,뽀,뾰,뿌,쀼,쁘,삐,뽜,뾔,뽸,뿨,쀠,쀄,쁴
ㄱ,빡,빽,뺙,뺵,뻑,뻭,뼉,뼥,뽁,뾱,뿍,쀽,쁙,삑,뽝,뾕,뽹,뿩,쀡,쀅,쁵
ㄴ,빤,뺀,뺜,뺸,뻔,뻰,뼌,뼨,뽄,뾴,뿐,쁀,쁜,삔,뽠,뾘,뽼,뿬,쀤,쀈,쁸
ㄷ,빧,뺃,뺟,뺻,뻗,뻳,뼏,뼫,뽇,뾷,뿓,쁃,쁟,삗,뽣,뾛,뽿,뿯,쀧,쀋,쁻
ㄹ,빨,뺄,뺠,뺼,뻘,뻴,뼐,뼬,뽈,뾸,뿔,쁄,쁠,삘,뽤,뾜,뾀,뿰,쀨,쀌,쁼
ㅁ,빰,뺌,뺨,뻄,뻠,뻼,뼘,뼴,뽐,뿀,뿜,쁌,쁨,삠,뽬,뾤,뾈,뿸,쀰,쀔,삄
ㅂ,빱,뺍,뺩,뻅,뻡,뻽,뼙,뼵,뽑,뿁,뿝,쁍,쁩,삡,뽭,뾥,뾉,뿹,쀱,쀕,삅
ㅅ,빳,뺏,뺫,뻇,뻣,뻿,뼛,뼷,뽓,뿃,뿟,쁏,쁫,삣,뽯,뾧,뾋,뿻,쀳,쀗,삇
ㅇ,빵,뺑,뺭,뻉,뻥,뼁,뼝,뼹,뽕,뿅,뿡,쁑,쁭,삥,뽱,뾩,뾍,뿽,쀵,쀙,삉
ㅈ,빶,뺒,뺮,뻊,뻦,뼂,뼞,뼺,뽖,뿆,뿢,쁒,쁮,삦,뽲,뾪,뾎,뿾,쀶,쀚,삊
ㅊ,빷,뺓,뺯,뻋,뻧,뼃,뼟,뼻,뽗,뿇,뿣,쁓,쁯,삧,뽳,뾫,뾏,뿿,쀷,쀛,삋
ㅋ,빸,뺔,뺰,뻌,뻨,뼄,뼠,뼼,뽘,뿈,뿤,쁔,쁰,삨,뽴,뾬,뾐,쀀,쀸,쀜,삌
ㅌ,빹,뺕,뺱,뻍,뻩,뼅,뼡,뼽,뽙,뿉,뿥,쁕,쁱,삩,뽵,뾭,뾑,쀁,쀹,쀝,삍
ㅍ,빺,뺖,뺲,뻎,뻪,뼆,뼢,뼾,뽚,뿊,뿦,쁖,쁲,삪,뽶,뾮,뾒,쀂,쀺,쀞,삎
ㅎ,빻,뺗,뺳,뻏,뻫,뼇,뼣,뼿,뽛,뿋,뿧,쁗,쁳,삫,뽷,뾯,뾓,쀃,쀻,쀟,삏
ㄲ,빢,빾,뺚,뺶,뻒,뻮,뼊,뼦,뽂,뾲,뿎,쀾,쁚,삒,뽞,뾖,뽺,뿪,쀢,쀆,쁶
ㄳ,빣,빿,뺛,뺷,뻓,뻯,뼋,뼧,뽃,뾳,뿏,쀿,쁛,삓,뽟,뾗,뽻,뿫,쀣,쀇,쁷
ㄵ,빥,뺁,뺝,뺹,뻕,뻱,뼍,뼩,뽅,뾵,뿑,쁁,쁝,삕,뽡,뾙,뽽,뿭,쀥,쀉,쁹
ㄶ,빦,뺂,뺞,뺺,뻖,뻲,뼎,뼪,뽆,뾶,뿒,쁂,쁞,삖,뽢,뾚,뽾,뿮,쀦,쀊,쁺
ㄺ,빩,뺅,뺡,뺽,뻙,뻵,뼑,뼭,뽉,뾹,뿕,쁅,쁡,삙,뽥,뾝,뾁,뿱,쀩,쀍,쁽
ㄻ,빪,뺆,뺢,뺾,뻚,뻶,뼒,뼮,뽊,뾺,뿖,쁆,쁢,삚,뽦,뾞,뾂,뿲,쀪,쀎,쁾
ㄼ,빫,뺇,뺣,뺿,뻛,뻷,뼓,뼯,뽋,뾻,뿗,쁇,쁣,삛,뽧,뾟,뾃,뿳,쀫,쀏,쁿
ㄽ,빬,뺈,뺤,뻀,뻜,뻸,뼔,뼰,뽌,뾼,뿘,쁈,쁤,삜,뽨,뾠,뾄,뿴,쀬,쀐,삀
ㄾ,빭,뺉,뺥,뻁,뻝,뻹,뼕,뼱,뽍,뾽,뿙,쁉,쁥,삝,뽩,뾡,뾅,뿵,쀭,쀑,삁
ㄿ,빮,뺊,뺦,뻂,뻞,뻺,뼖,뼲,뽎,뾽,뿚,쁊,쁦,삞,뽪,뾢,뾆,뿶,쀮,쀒,삂
ㅀ,빯,뺋,뺧,뻃,뻟,뼳,뼗,뼳,뽏,뾿,뿛,쁋,쁧,삟,뽫,뾣,뾇,뿷,쀯,쀓,삃
ㅄ,빲,뺎,뺪,뻆,뻢,뻾,뼚,뼶,뽒,뿂,뿞,쁎,쁪,삢,뽮,뾦,뾊,뿺,쀲,쀖,삆
ㅆ,빴,뺐,뺬,뻈,뻤,뼀,뼜,뼸,뽔,뿄,뿠,쁐,쁬,삤,뽰,뾨,뾌,뿻,쀴,쀘,삇
