/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
:,바,배,뱌,뱨,버,베,벼,볘,보,뵤,부,뷰,브,비,봐,뵈,봬,붜,뷔,붸,븨
ㄱ,박,백,뱍,뱩,벅,벡,벽,볙,복,뵥,북,뷱,븍,빅,봑,뵉,봭,붝,뷕,붹,븩
ㄴ,반,밴,뱐,뱬,번,벤,변,볜,본,뵨,분,뷴,븐,빈,봔,뵌,봰,붠,뷘,붼,븬
ㄷ,받,밷,뱓,뱯,벋,벧,볃,볟,볻,뵫,붇,뷷,븓,빋,봗,뵏,봳,붣,뷛,붿,븯
ㄹ,발,밸,뱔,뱰,벌,벨,별,볠,볼,뵬,불,뷸,블,빌,봘,뵐,봴,붤,뷜,뷀,븰
ㅁ,밤,뱀,뱜,뱸,범,벰,볌,볨,봄,뵴,붐,븀,븜,빔,봠,뵘,봼,붬,뷤,뷈,븸
ㅂ,밥,뱁,뱝,뱹,법,벱,볍,볩,봅,뵵,붑,븁,븝,빕,봡,뵙,봽,붭,뷥,뷉,븹
ㅅ,밧,뱃,뱟,뱻,벗,벳,볏,볫,봇,뵷,붓,븃,븟,빗,봣,뵛,봿,붯,뷧,뷋,븻
ㅇ,방,뱅,뱡,뱽,벙,벵,병,볭,봉,뵹,붕,븅,븡,빙,봥,뵝,뵁,붱,뷩,뷍,븽
ㅈ,밪,뱆,뱢,뱾,벚,벶,볒,볮,봊,뵺,붖,븆,븢,빚,봦,뵞,뵂,붲,뷪,뷎,븾
ㅊ,밫,뱇,뱣,뱿,벛,벷,볓,볯,봋,뵻,붗,븇,븣,빛,봧,뵟,뵃,붳,뷫,뷏,븿
ㅋ,밬,뱈,뱤,벀,벜,벸,볔,볰,봌,뵼,붘,븈,븤,빜,봨,뵠,뵄,붴,뷬,뷐,빀
ㅌ,밭,뱉,뱥,벁,벝,벹,볕,볱,봍,뵽,붙,븉,븥,빝,봩,뵡,뵅,붵,뷭,뷑,빁
ㅍ,밮,뱊,뱦,벂,벞,벺,볖,볲,봎,뵾,붚,븊,븦,빞,봪,뵢,뵆,붶,뷮,뷒,빂
ㅎ,밯,뱋,뱧,벃,벟,벻,볗,볳,봏,뵿,붛,븋,븧,빟,봫,뵣,뵇,붷,뷯,뷓,빃
ㄲ,밖,밲,뱎,뱪,벆,벢,벾,볚,볶,뵦,붂,뷲,븎,빆,봒,뵊,봮,붞,뷖,붺,븪
ㄳ,밗,밳,뱏,뱫,벇,벣,벿,볛,볷,뵧,붃,뷳,븏,빇,봓,뵋,봯,붟,뷗,붻,븫
ㄵ,밙,밵,뱑,뱭,벉,벥,볁,볝,볹,뵩,붅,뷵,븑,빉,봕,뵍,봱,붡,뷙,붽,븭
ㄶ,밚,밶,뱒,뱮,벊,벦,볂,볞,볺,뵪,붆,뷶,븒,빊,봖,뵎,봲,붢,뷚,붾,븮
ㄺ,밝,밹,뱕,뱱,벍,벩,볅,볡,볽,뵭,붉,뷹,븕,빍,봙,뵑,봵,붥,뷝,뷁,븱
ㄻ,밞,밺,뱖,뱲,벎,벪,볆,볢,볾,뵮,붊,뷺,븖,빎,봚,뵒,봶,붦,뷞,뷂,븲
ㄼ,밟,밻,뱗,뱳,벏,벫,볇,볣,볿,뵯,붋,뷻,븗,빏,봛,뵓,봷,붧,뷟,뷃,븳
ㄽ,밠,밼,뱘,뱴,벐,벬,볈,볤,봀,뵰,붌,뷼,븘,빐,봜,뵔,봸,붨,뷠,뷄,븴
ㄾ,밡,밽,뱙,뱵,벑,벭,볉,볥,봁,뵱,붍,뷽,븙,빑,봝,뵕,봹,붩,뷡,뷅,븵
ㄿ,밢,밾,뱚,뱶,벒,벮,볊,볦,봂,뵱,붎,뷾,븚,빒,봞,뵖,봺,붪,뷢,뷆,븶
ㅀ,밣,밿,뱛,뱷,벓,벯,볋,볧,봃,뵳,붏,뷿,븛,빓,봟,뵗,봻,붫,뷣,뷇,븷
ㅄ,밦,뱂,뱞,뱺,벖,벲,볎,볪,봆,뵶,붒,븂,븞,빖,봢,뵚,봾,붮,뷦,뷊,븺
ㅆ,밨,뱄,뱠,뱼,벘,벴,볐,볬,봈,뵸,붔,븄,븠,빘,봤,뵜,뵀,붰,뷨,뷌,븼
