/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
:,가,개,갸,걔,거,게,겨,계,고,교,구,규,그,기,과,괴,괘,궈,귀,궤,긔
ㄱ,각,객,갹,걕,걱,겍,격,곅,곡,굑,국,귝,극,긱,곽,괵,괙,궉,귁,궥,긕
ㄴ,간,갠,갼,걘,건,겐,견,곈,곤,굔,군,균,근,긴,관,괸,괜,권,귄,궨,긘
ㄷ,갇,갣,갿,걛,걷,겓,겯,곋,곧,굗,굳,귣,귿,긷,괃,괻,괟,궏,귇,궫,긛
ㄹ,갈,갤,걀,걜,걸,겔,결,곌,골,굘,굴,귤,글,길,괄,괼,괠,궐,귈,궬,긜
ㅁ,감,갬,걈,걤,검,겜,겸,곔,곰,굠,굼,귬,금,김,괌,굄,괨,궘,귐,궴,긤
ㅂ,갑,갭,걉,걥,겁,겝,겹,곕,곱,굡,굽,귭,급,깁,괍,굅,괩,궙,귑,궵,긥
ㅅ,갓,갯,걋,걧,것,겟,겻,곗,곳,굣,굿,귯,긋,깃,괏,굇,괫,궛,귓,궷,긧
ㅇ,강,갱,걍,걩,겅,겡,경,곙,공,굥,궁,귱,긍,깅,광,굉,괭,궝,귕,궹,긩
ㅈ,갖,갲,걎,걪,겆,겢,겾,곚,곶,굦,궂,귲,긎,깆,괒,굊,괮,궞,귖,궺,긪
ㅊ,갗,갳,걏,걫,겇,겣,겿,곛,곷,굧,궃,귳,긏,깇,괓,굋,괯,궟,귗,궻,긫
ㅋ,갘,갴,걐,걬,겈,겤,곀,곜,곸,굨,궄,귴,긐,깈,괔,굌,괰,궠,귘,궼,긬
ㅌ,같,갵,걑,걭,겉,겥,곁,곝,곹,굩,궅,귵,긑,깉,괕,굍,괱,궡,귙,궽,긭
ㅍ,갚,갶,걒,걮,겊,겦,곂,곞,곺,굪,궆,귶,긒,깊,괖,굎,괲,궢,귚,궾,긮
ㅎ,갛,갷,걓,걯,겋,겧,곃,곟,곻,굫,궇,귷,긓,깋,괗,굏,괳,궣,귛,궿,긯
ㄲ,갂,갞,갺,걖,걲,겎,겪,곆,곢,굒,굮,귞,귺,긲,곾,괶,괚,궊,귂,궦,긖
ㄳ,갃,갟,갻,걗,걳,겏,겫,곇,곣,굓,굯,귟,귻,긳,곿,괷,괛,궋,귃,궧,긗
ㄵ,갅,갡,갽,걙,걵,겑,겭,곉,곥,굕,굱,귡,귽,긵,괁,괹,괝,궍,귅,궩,긙
ㄶ,갆,갢,갾,걚,걶,겒,겮,곊,곦,굖,굲,귢,귾,긶,괂,괺,괞,궎,귆,궪,긚
ㄺ,갉,갥,걁,걝,걹,겕,겱,곍,곩,굙,굵,귥,긁,긹,괅,괽,괡,궑,귉,궭,긝
ㄻ,갊,갦,걂,걞,걺,겖,겲,곎,곪,굚,굶,귦,긂,긺,괆,괾,괢,궒,귊,궮,긞
ㄼ,갋,갧,걃,걟,걻,겗,겳,곏,곫,굛,굷,귧,긃,긻,괇,괿,괣,궓,귋,궯,긟
ㄽ,갌,갨,걄,걠,걼,겘,겴,곐,곬,굜,굸,귨,긄,긼,괈,굀,괤,궔,귌,궰,긠
ㄾ,갍,갩,걅,걡,걽,겙,겵,곑,곭,굝,굹,귩,긅,긽,괉,굁,괥,궕,귍,궱,긡
ㄿ,갎,갪,걆,걢,걾,겚,겶,곒,곮,굝,굺,귪,긆,긾,괊,굂,괦,궖,귎,궲,긢
ㅀ,갏,갫,걇,걣,걿,겛,겷,곓,곯,굟,굻,귫,긇,긿,괋,굃,괧,궗,귏,궳,긣
ㅄ,값,갮,걊,걦,겂,겞,겺,곖,곲,굢,굾,귮,긊,깂,괎,굆,괪,궚,귒,궶,긦
ㅆ,갔,갰,걌,걨,겄,겠,겼,곘,곴,굤,궀,귰,긌,깄,괐,굈,괬,궜,귔,궸,긨
