/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
:,라,래,랴,럐,러,레,려,례,로,료,루,류,르,리,롸,뢰,뢔,뤄,뤼,뤠,릐
ㄱ,락,랙,략,럑,럭,렉,력,롁,록,룍,룩,륙,륵,릭,롹,뢱,뢕,뤅,뤽,뤡,릑
ㄴ,란,랜,랸,럔,런,렌,련,롄,론,룐,룬,륜,른,린,롼,뢴,뢘,뤈,륀,뤤,릔
ㄷ,랃,랟,랻,럗,럳,렏,렫,롇,롣,룓,룯,륟,륻,릳,롿,뢷,뢛,뤋,륃,뤧,릗
ㄹ,랄,랠,랼,럘,럴,렐,렬,롈,롤,룔,룰,률,를,릴,뢀,뢸,뢜,뤌,륄,뤨,릘
ㅁ,람,램,럄,럠,럼,렘,렴,롐,롬,룜,룸,륨,름,림,뢈,룀,뢤,뤔,륌,뤰,릠
ㅂ,랍,랩,럅,럡,럽,렙,렵,롑,롭,룝,룹,륩,릅,립,뢉,룁,뢥,뤕,륍,뤱,릡
ㅅ,랏,랫,럇,럣,럿,렛,렷,롓,롯,룟,룻,륫,릇,릿,뢋,룃,뢧,뤗,륏,뤳,릣
ㅇ,랑,랭,량,럥,렁,렝,령,롕,롱,룡,룽,륭,릉,링,뢍,룅,뢩,뤙,륑,뤵,릥
ㅈ,랒,랮,럊,럦,렂,렞,렺,롖,롲,룢,룾,륮,릊,맂,뢎,룆,뢪,뤚,륒,뤶,릦
ㅊ,랓,랯,럋,럧,렃,렟,렻,롗,롳,룣,룿,륯,릋,맃,뢏,룇,뢫,뤛,륓,뤷,릧
ㅋ,랔,랰,럌,럨,렄,렠,렼,롘,롴,룤,뤀,륰,릌,맄,뢐,룈,뢬,뤜,륔,뤸,릨
ㅌ,랕,랱,럍,럩,렅,렡,렽,롙,롵,룥,뤁,륱,릍,맅,뢑,룉,뢭,뤝,륕,뤹,릩
ㅍ,랖,랲,럎,럪,렆,렢,렾,롚,롶,룦,뤂,륲,릎,맆,뢒,룊,뢮,뤞,륖,뤺,릪
ㅎ,랗,랳,럏,럫,렇,렣,렿,롛,롷,룧,뤃,륳,릏,맇,뢓,룋,뢯,뤟,륗,뤻,릫
ㄲ,띾,랚,랶,럒,럮,렊,렦,롂,롞,룎,룪,륚,륶,릮,롺,뢲,뢖,뤆,뤾,뤢,릒
ㄳ,띿,랛,랷,럓,럯,렋,렧,롃,롟,룏,룫,륛,륷,릯,롻,뢳,뢗,뤇,뤿,뤣,릓
ㄵ,랁,랝,랹,럕,럱,렍,렩,롅,롡,룑,룭,륝,륹,릱,롽,뢵,뢙,뤉,륁,뤥,릕
ㄶ,랂,랞,랺,럖,럲,렎,렪,롆,롢,룒,룮,륞,륺,릲,롾,뢶,뢚,뤊,륂,뤦,릖
ㄺ,랅,랡,랽,럙,럵,렑,렭,롉,롥,룕,룱,륡,륽,릵,뢁,뢹,뢝,뤍,륅,뤩,릙
ㄻ,랆,랢,랾,럚,럶,렒,렮,롊,롦,룖,룲,륢,륾,릶,뢂,뢺,뢞,뤎,륆,뤪,릚
ㄼ,랇,랣,랿,럛,럷,렓,렯,롋,롧,룗,룳,륣,륿,릷,뢃,뢻,뢟,뤏,륇,뤫,릛
ㄽ,랈,랤,럀,럜,럸,렔,렰,롌,롨,룘,룴,륤,릀,릸,뢄,뢼,뢠,뤐,륈,뤬,릜
ㄾ,랉,랥,럁,럝,럹,렕,렱,롍,롩,룙,룵,륥,릁,릹,뢅,뢽,뢡,뤑,륉,뤭,릝
ㄿ,랊,랦,럂,럞,럺,렖,렲,롎,롪,룙,룶,륦,릂,릺,뢆,뢾,뢢,뤒,륊,뤮,릞
ㅀ,랋,랧,럃,럟,럻,렗,렳,롏,롫,룛,룷,륧,릃,릻,뢇,뢿,뢣,뤓,륋,뤯,릟
ㅄ,랎,랪,럆,럢,럾,렚,렶,롒,롮,룞,룺,륪,릆,릾,뢊,룂,뢦,뤖,륎,뤲,릢
ㅆ,랐,랬,럈,럤,렀,렜,렸,롔,롰,룠,룼,륬,릈,맀,뢌,룄,뢨,뤘,륐,뤴,릤
