/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
:,사,새,샤,섀,서,세,셔,셰,소,쇼,수,슈,스,시,솨,쇠,쇄,숴,쉬,쉐,싀
ㄱ,삭,색,샥,섁,석,섹,셕,셱,속,쇽,숙,슉,슥,식,솩,쇡,쇅,숵,쉭,쉑,싁
ㄴ,산,샌,샨,섄,선,센,션,셴,손,숀,순,슌,슨,신,솬,쇤,쇈,숸,쉰,쉔,싄
ㄷ,삳,샏,샫,섇,섣,섿,셛,셷,솓,숃,숟,슏,슫,싣,솯,쇧,쇋,숻,쉳,쉗,싇
ㄹ,살,샐,샬,섈,설,셀,셜,셸,솔,숄,술,슐,슬,실,솰,쇨,쇌,숼,쉴,쉘,싈
ㅁ,삼,샘,샴,섐,섬,셈,셤,솀,솜,숌,숨,슘,슴,심,솸,쇰,쇔,쉄,쉼,쉠,싐
ㅂ,삽,샙,샵,섑,섭,셉,셥,솁,솝,숍,숩,슙,습,십,솹,쇱,쇕,쉅,쉽,쉡,싑
ㅅ,삿,샛,샷,섓,섯,셋,셧,솃,솟,숏,숫,슛,슷,싯,솻,쇳,쇗,쉇,쉿,쉣,싓
ㅇ,상,생,샹,섕,성,셍,셩,솅,송,숑,숭,슝,승,싱,솽,쇵,쇙,쉉,슁,쉥,싕
ㅈ,샂,샞,샺,섖,섲,셎,셪,솆,솢,숒,숮,슞,슺,싲,솾,쇶,쇚,쉊,슂,쉦,싖
ㅊ,샃,샟,샻,섗,섳,셏,셫,솇,솣,숓,숯,슟,슻,싳,솿,쇷,쇛,쉋,슃,쉧,싗
ㅋ,샄,샠,샼,섘,섴,셐,셬,솈,솤,숔,숰,슠,슼,싴,쇀,쇸,쇜,쉌,슄,쉨,싘
ㅌ,샅,샡,샽,섙,섵,셑,셭,솉,솥,숕,숱,슡,슽,싵,쇁,쇹,쇝,쉍,슅,쉩,싙
ㅍ,샆,샢,샾,섚,섶,셒,셮,솊,솦,숖,숲,슢,슾,싶,쇂,쇺,쇞,쉎,슆,쉪,싚
ㅎ,샇,샣,샿,섛,섷,셓,셯,솋,솧,숗,숳,슣,슿,싷,쇃,쇻,쇟,쉏,슇,쉫,싛
ㄲ,삮,샊,샦,섂,섞,섺,셖,셲,솎,쇾,숚,슊,슦,싞,솪,쇢,쇆,숶,쉮,쉒,싂
ㄳ,삯,샋,샧,섃,섟,섻,셗,셳,솏,쇿,숛,슋,슧,싟,솫,쇣,쇇,숷,쉯,쉓,싃
ㄵ,삱,샍,샩,섅,섡,섽,셙,셵,솑,숁,숝,슍,슩,싡,솭,쇥,쇉,숹,쉱,쉕,싅
ㄶ,삲,샎,샪,섆,섢,섾,셚,셶,솒,숂,숞,슎,슪,싢,솮,쇦,쇊,숺,쉲,쉖,싆
ㄺ,삵,샑,샭,섉,섥,셁,셝,셹,솕,숅,숡,슑,슭,싥,솱,쇩,쇍,숽,쉵,쉙,싉
ㄻ,삶,샒,샮,섊,섦,셂,셞,셺,솖,숆,숢,슒,슮,싦,솲,쇪,쇎,숾,쉶,쉚,싊
ㄼ,삷,샓,샯,섋,섧,셃,셟,셻,솗,숇,숣,슓,슯,싧,솳,쇫,쇏,숿,쉷,쉛,싋
ㄽ,삸,샔,샰,섌,섨,셄,셠,셼,솘,숈,숤,슔,슰,싨,솴,쇬,쇐,쉀,쉸,쉜,싌
ㄾ,삹,샕,샱,섍,섩,셅,셡,셽,솙,숉,숥,슕,슱,싩,솵,쇭,쇑,쉁,쉹,쉝,싍
ㄿ,삺,샖,샲,섎,섪,셆,셢,셾,솚,숉,숦,슖,슲,싪,솶,쇮,쇒,쉂,쉺,쉞,싎
ㅀ,삻,샗,샳,섏,섫,셇,셣,셿,솛,숋,숧,슗,슳,싫,솷,쇯,쇓,쉃,쉻,쉟,싏
ㅄ,삾,샚,샶,섒,섮,셊,셦,솂,솞,숎,숪,슚,슶,싮,솺,쇲,쇖,쉆,쉾,쉢,싒
ㅆ,샀,샜,샸,섔,섰,셌,셨,솄,솠,숐,숬,슜,슸,싰,솼,쇴,쇘,쉈,슀,쉤,싔
