/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
:,까,깨,꺄,꺠,꺼,께,껴,꼐,꼬,꾜,꾸,뀨,끄,끼,꽈,꾀,꽤,꿔,뀌,꿰,끠
ㄱ,깍,깩,꺅,꺡,꺽,껙,껵,꼑,꼭,꾝,꾹,뀩,끅,끽,꽉,꾁,꽥,꿕,뀍,꿱,끡
ㄴ,깐,깬,꺈,꺤,껀,껜,껸,꼔,꼰,꾠,꾼,뀬,끈,낀,꽌,꾄,꽨,꿘,뀐,꿴,끤
ㄷ,깓,깯,꺋,꺧,껃,껟,껻,꼗,꼳,꾣,꾿,뀯,끋,낃,꽌,꾇,꽫,꿛,뀓,꿷,끧
ㄹ,깔,깰,꺌,꺨,껄,껠,껼,꼘,꼴,꾤,꿀,뀰,끌,낄,꽐,꾈,꽬,꿜,뀔,꿸,끨
ㅁ,깜,깸,꺔,꺰,껌,껨,꼄,꼠,꼼,꾬,꿈,뀸,끔,낌,꽘,꾐,꽴,꿤,뀜,뀀,끰
ㅂ,깝,깹,꺕,꺱,껍,껩,꼅,껩,꼽,꾭,꿉,뀹,끕,낍,꽙,꾑,꽵,꿥,뀝,뀁,끱
ㅅ,깟,깻,꺗,꺳,껏,껫,꼇,꼣,꼿,꾯,꿋,뀻,끗,낏,꽛,꾓,꽷,꿧,뀟,뀃,끳
ㅇ,깡,깽,꺙,꺵,껑,껭,꼉,꼥,꽁,꾱,꿍,뀽,끙,낑,꽝,꾕,꽹,꿩,뀡,뀅,끵
ㅈ,깢,깾,꺚,깾,껒,껮,꼊,꼦,꽂,꾲,꿎,뀾,끚,낒,꽞,꾖,꽺,꿪,뀢,뀆,끶
ㅊ,깣,깿,꺛,꺷,껓,껯,꼋,꼧,꽃,꾳,꿏,뀿,끛,낓,꽟,꾗,꽻,꿫,뀣,뀇,끷
ㅋ,깤,꺀,꺜,꺸,껔,껰,꼌,꼨,꽄,꾴,꿐,끀,끜,낔,꽠,꾘,꽼,꿬,뀤,뀈,끸
ㅌ,깥,꺁,깥,꺹,껕,껱,꼍,꼩,꽅,꾵,꿑,끁,끝,낕,꽡,꾙,꽽,꿭,뀥,뀉,끹
ㅍ,깦,꺂,꺞,꺺,껖,껲,꼎,꼪,꽆,꾶,꿒,끂,끞,낖,꽢,꾚,꽾,꿮,뀦,뀊,끺
ㅎ,깧,꺃,꺟,꺻,껗,껳,꼏,꼫,꽇,꾷,꿓,끃,끟,낗,꽣,꾛,꽿,꿯,뀧,뀋,끻
ㄲ,깎,깪,꺆,꺢,꺾,껚,껶,꼒,꼮,꾞,꾺,뀪,끆,끾,꽊,꾂,꽦,꿖,뀎,꿲,끢
ㄳ,깏,깫,꺇,꺣,꺿,껛,껷,껛,꼯,꾟,꾻,뀫,끇,끿,꽋,꾃,꽧,꿗,뀏,꿳,끣
ㄵ,깑,깭,꺉,꺥,껁,껝,껹,꼕,꼱,꾡,꾽,뀭,끉,낁,꽍,꾅,꽩,꿙,뀑,꿵,끥
ㄶ,깒,깮,꺊,꺦,껂,껞,껺,꼖,꼲,꾢,꾾,뀮,끊,낂,꽎,꾆,꽪,꿚,뀒,꿶,끦
ㄺ,깕,깱,꺍,꺩,껅,껡,껽,꼙,꼵,꾥,꿁,뀱,끍,낅,꽑,꾉,꽭,꿝,뀕,꿹,끩
ㄻ,깖,깲,꺎,꺪,껆,껢,껾,꼚,꼶,꾦,꿂,뀲,끎,낆,꽒,꾊,꽮,꿞,뀖,꿺,끪
ㄼ,깗,깳,꺏,꺫,껇,껣,껿,꼛,꼷,꾧,꿃,뀳,끏,낇,꽓,꾋,꽯,꿟,뀗,꿻,끫
ㄽ,깘,깴,꺐,꺬,껈,껤,꼀,꼜,꼸,꾨,꿄,뀴,끐,낈,꽔,꾌,꽰,꿠,뀘,꿼,끬
ㄾ,깙,깵,꺑,꺭,껉,껥,꼁,꼝,꼹,꾩,꿅,뀵,끑,낉,꽕,꾍,꽱,꿡,뀙,꿽,끭
ㄿ,깚,깶,꺒,꺮,껊,껦,꼂,꼞,꼺,꾩,꿆,뀶,끒,낊,꽖,꾎,꽲,꿢,뀚,꿾,끮
ㅀ,깛,깷,꺓,꺯,껋,껧,꼃,꼟,꼻,꾫,꿇,뀷,끓,낋,꽗,꾏,꽳,꿣,뀛,꿿,끯
ㅄ,깞,깺,꺖,꺲,껎,껪,꼆,꼢,꼾,꾮,꿊,뀺,끖,낎,꽚,꾒,꽶,꿦,뀞,뀂,끲
ㅆ,깠,깼,꺘,꺴,껐,껬,꼈,꼤,꽀,꾰,꿌,뀼,끘,낐,꽜,꾔,꽸,꿨,뀠,뀄,끴
