/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
:,마,매,먀,먜,머,메,며,몌,모,묘,무,뮤,므,미,뫄,뫼,뫠,뭐,뮈,뭬,믜
ㄱ,막,맥,먁,먝,먹,멕,멱,몍,목,묙,묵,뮥,믁,믹,뫅,뫽,뫡,뭑,뮉,뭭,믝
ㄴ,만,맨,먄,먠,먼,멘,면,몐,몬,묜,문,뮨,믄,민,뫈,묀,뫤,뭔,뮌,뭰,믠
ㄷ,맏,맫,먇,먣,먿,멛,멷,몓,몯,묟,묻,뮫,믇,믿,뫋,묃,뫧,뭗,뮏,뭳,믣
ㄹ,말,맬,먈,먤,멀,멜,멸,몔,몰,묠,물,뮬,믈,밀,뫌,묄,뫨,뭘,뮐,뭴,믤
ㅁ,맘,맴,먐,먬,멈,멤,몀,몜,몸,묨,뭄,뮴,믐,밈,뫔,묌,뫰,뭠,뮘,뭼,믬
ㅂ,맙,맵,먑,먭,멉,멥,몁,몝,몹,묩,뭅,뮵,믑,밉,뫕,묍,뫱,뭡,뮙,뭽,믭
ㅅ,맛,맷,먓,먯,멋,멧,몃,몟,못,묫,뭇,뮷,믓,밋,뫗,묏,뫳,뭣,뮛,뭿,믯
ㅇ,망,맹,먕,먱,멍,멩,명,몡,몽,묭,뭉,뮹,믕,밍,뫙,묑,뫵,뭥,뮝,뮁,믱
ㅈ,맞,맺,먖,먲,멎,멪,몆,몢,몾,묮,뭊,뮺,믖,밎,뫚,묒,뫶,뭦,뮞,뮂,믲
ㅊ,맟,맻,먗,먳,멏,멫,몇,몣,몿,묯,뭋,뮻,믗,및,뫛,묓,뫷,뭧,뮟,뮃,믳
ㅋ,맠,맼,먘,먴,멐,멬,몈,몤,뫀,묰,뭌,뮼,믘,밐,뫜,묔,뫸,뭨,뮠,뮄,믴
ㅌ,맡,맽,먙,먵,멑,멭,몉,몥,뫁,묱,뭍,뮽,믙,밑,뫝,묕,뫹,뭩,뮡,뮅,믵
ㅍ,맢,맾,먚,먶,멒,멮,몊,몦,뫂,묲,뭎,뮾,믚,밒,뫞,묖,뫺,뭪,뮢,뮆,믶
ㅎ,맣,맿,먛,먷,멓,멯,몋,몧,뫃,묳,뭏,뮿,믛,밓,뫟,묗,뫻,뭫,뮣,뮇,믷
ㄲ,맊,맦,먂,먞,먺,멖,멲,몎,몼,묚,묶,뮦,믂,믺,뫆,뫾,뫢,뭒,뮊,뭮,믞
ㄳ,맋,맧,먃,먟,먻,멗,멳,몏,몫,묛,묷,뮧,믃,믻,뫇,뫿,뫣,뭓,뮋,뭯,믟
ㄵ,맍,맩,먅,먡,먽,멙,멵,몑,몭,묝,묹,뮩,믅,믽,뫉,묁,뫥,뭕,뮍,뭱,믡
ㄶ,많,맪,먆,먢,먾,멚,멶,몒,몮,묞,묺,뮪,믆,믾,뫊,묂,뫦,뭖,뮎,뭲,믢
ㄺ,맑,맭,먉,먥,멁,멝,멹,몕,몱,묡,묽,뮭,믉,밁,뫍,묅,뫩,뭙,뮑,뭵,믥
ㄻ,맒,맮,먊,먦,멂,멞,멺,몖,몲,묢,묾,뮮,믊,밂,뫎,묆,뫪,뭚,뮒,뭶,믦
ㄼ,맓,맯,먋,먧,멃,멟,멻,몗,몳,묣,묿,뮯,믋,밃,뫏,묇,뫫,뭛,뮓,뭷,믧
ㄽ,맔,맰,먌,먨,멄,멠,멼,몘,몴,묤,뭀,뮰,믌,밄,뫐,묈,뫬,뭜,뮔,뭸,믨
ㄾ,맕,맱,먍,먩,멅,멡,멽,몙,몵,묥,뭁,뮱,믍,밅,뫑,묉,뫭,뭝,뮕,뭹,믩
ㄿ,맖,맲,먎,먪,멆,멢,멾,몚,몶,묥,뭂,뮲,믎,밆,뫒,묊,뫮,뭞,뮖,뭺,믪
ㅀ,맗,맳,먏,먫,멇,멣,멿,몛,몷,묧,뭃,뮳,믏,밇,뫓,묋,뫯,뭟,뮗,뭻,믫
ㅄ,맚,맶,먒,먮,멊,멦,몂,몞,몺,묪,뭆,뮶,믒,밊,뫖,묎,뫲,뭢,뮚,뭾,믮
ㅆ,맜,맦,먔,먰,멌,멨,몄,몠,몼,묬,뭈,뮸,믔,밌,뫘,묐,뫴,뭤,뮜,뮀,믰
