/,ㅏ,ㅐ,ㅑ,ㅒ,ㅓ,ㅔ,ㅕ,ㅖ,ㅗ,ㅛ,ㅜ,ㅠ,ㅡ,ㅣ,ㅘ,ㅚ,ㅙ,ㅝ,ㅟ,ㅞ,ㅢ
ㄹ/ㄽ,랈,랤,럀,럜,럸,렔,렰,롌,롨,룘,룴,륤,릀,릸,뢄,뢼,뢠,뤐,륈,뤬,릜
ㄹ/ㄾ,랉,랥,럁,럝,럹,렕,렱,롍,롩,룙,룵,륥,릁,릹,뢅,뢽,뢡,뤑,륉,뤭,릝
ㄹ/ㄿ,랊,랦,럂,럞,럺,렖,렲,롎,롪,룙,룶,륦,릂,릺,뢆,뢾,뢢,뤒,륊,뤮,릞
ㄹ/ㅀ,랋,랧,럃,럟,럻,렗,렳,롏,롫,룛,룷,륧,릃,릻,뢇,뢿,뢣,뤓,륋,뤯,릟
ㄹ/ㅄ,랎,랪,럆,럢,럾,렚,렶,롒,롮,룞,룺,륪,릆,릾,뢊,룂,뢦,뤖,륎,뤲,릢
ㄹ/ㅆ,랐,랬,럈,럤,렀,렜,렸,롔,롰,룠,룼,륬,릈,맀,뢌,룄,뢨,뤘,륐,뤴,릤
ㅁ/:,마,매,먀,먜,머,메,며,몌,모,묘,무,뮤,므,미,뫄,뫼,뫠,뭐,뮈,뭬,믜
ㅁ/ㄱ,막,맥,먁,먝,먹,멕,멱,몍,목,묙,묵,뮥,믁,믹,뫅,뫽,뫡,뭑,뮉,뭭,믝
ㅁ/ㄴ,만,맨,먄,먠,먼,멘,면,몐,몬,묜,문,뮨,믄,민,뫈,묀,뫤,뭔,뮌,뭰,믠
ㅁ/ㄷ,맏,맫,먇,먣,먿,멛,멷,몓,몯,묟,묻,뮫,믇,믿,뫋,묃,뫧,뭗,뮏,뭳,믣
ㅁ/ㄹ,말,맬,먈,먤,멀,멜,멸,몔,몰,묠,물,뮬,믈,밀,뫌,묄,뫨,뭘,뮐,뭴,믤
ㅁ/ㅁ,맘,맴,먐,먬,멈,멤,몀,몜,몸,묨,뭄,뮴,믐,밈,뫔,묌,뫰,뭠,뮘,뭼,믬
ㅁ/ㅂ,맙,맵,먑,먭,멉,멥,몁,몝,몹,묩,뭅,뮵,믑,밉,뫕,묍,뫱,뭡,뮙,뭽,믭
ㅁ/ㅅ,맛,맷,먓,먯,멋,멧,몃,몟,못,묫,뭇,뮷,믓,밋,뫗,묏,뫳,뭣,뮛,뭿,믯
ㅁ/ㅇ,망,맹,먕,먱,멍,멩,명,몡,몽,묭,뭉,뮹,믕,밍,뫙,묑,뫵,뭥,뮝,뮁,믱
ㅁ/ㅈ,맞,맺,먖,먲,멎,멪,몆,몢,몾,묮,뭊,뮺,믖,밎,뫚,묒,뫶,뭦,뮞,뮂,믲
ㅁ/ㅊ,맟,맻,먗,먳,멏,멫,몇,몣,몿,묯,뭋,뮻,믗,및,뫛,묓,뫷,뭧,뮟,뮃,믳
ㅁ/ㅋ,맠,맼,먘,먴,멐,멬,몈,몤,뫀,묰,뭌,뮼,믘,밐,뫜,묔,뫸,뭨,뮠,뮄,믴
ㅁ/ㅌ,맡,맽,먙,먵,멑,멭,몉,몥,뫁,묱,뭍,뮽,믙,밑,뫝,묕,뫹,뭩,뮡,뮅,믵
ㅁ/ㅍ,맢,맾,먚,먶,멒,멮,몊,몦,뫂,묲,뭎,뮾,믚,밒,뫞,묖,뫺,뭪,뮢,뮆,믶
ㅁ/ㅎ,맣,맿,먛,먷,멓,멯,몋,몧,뫃,묳,뭏,뮿,믛,밓,뫟,묗,뫻,뭫,뮣,뮇,믷
ㅁ/ㄲ,맊,맦,먂,먞,먺,멖,멲,몎,몼,묚,묶,뮦,믂,믺,뫆,뫾,뫢,뭒,뮊,뭮,믞
ㅁ/ㄳ,맋,맧,먃,먟,먻,멗,멳,몏,몫,묛,묷,뮧,믃,믻,뫇,뫿,뫣,뭓,뮋,뭯,믟
ㅁ/ㄵ,맍,맩,먅,먡,먽,멙,멵,몑,몭,묝,묹,뮩,믅,믽,뫉,묁,뫥,뭕,뮍,뭱,믡
ㅁ/ㄶ,많,맪,먆,먢,먾,멚,멶,몒,몮,묞,묺,뮪,믆,믾,뫊,묂,뫦,뭖,뮎,뭲,믢
ㅁ/ㄺ,맑,맭,먉,먥,멁,멝,멹,몕,몱,묡,묽,뮭,믉,밁,뫍,묅,뫩,뭙,뮑,뭵,믥
ㅁ/ㄻ,맒,맮,먊,먦,멂,멞,멺,몖,몲,묢,묾,뮮,믊,밂,뫎,묆,뫪,뭚,뮒,뭶,믦
ㅁ/ㄼ,맓,맯,먋,먧,멃,멟,멻,몗,몳,묣,묿,뮯,믋,밃,뫏,묇,뫫,뭛,뮓,뭷,믧
ㅁ/ㄽ,맔,맰,먌,먨,멄,멠,멼,몘,몴,묤,뭀,뮰,믌,밄,뫐,묈,뫬,뭜,뮔,뭸,믨
ㅁ/ㄾ,맕,맱,먍,먩,멅,멡,멽,몙,몵,묥,뭁,뮱,믍,밅,뫑,묉,뫭,뭝,뮕,뭹,믩
ㅁ/ㄿ,맖,맲,먎,먪,멆,멢,멾,몚,몶,묥,뭂,뮲,믎,밆,뫒,묊,뫮,뭞,뮖,뭺,믪
ㅁ/ㅀ,맗,맳,먏,먫,멇,멣,멿,몛,몷,묧,뭃,뮳,믏,밇,뫓,묋,뫯,뭟,뮗,뭻,믫
ㅁ/ㅄ,맚,맶,먒,먮,멊,멦,몂,몞,몺,묪,뭆,뮶,믒,밊,뫖,묎,뫲,뭢,뮚,뭾,믮
ㅁ/ㅆ,맜,맦,먔,먰,멌,멨,몄,몠,몼,묬,뭈,뮸,믔,밌,뫘,묐,뫴,뭤,뮜,뮀,믰
ㅂ/:,바,배,뱌,뱨,버,베,벼,볘,보,뵤,부,뷰,브,비,봐,뵈,봬,붜,뷔,붸,븨
ㅂ/ㄱ,박,백,뱍,뱩,벅,벡,벽,볙,복,뵥,북,뷱,븍,빅,봑,뵉,봭,붝,뷕,붹,븩
ㅂ/ㄴ,반,밴,뱐,뱬,번,벤,변,볜,본,뵨,분,뷴,븐,빈,봔,뵌,봰,붠,뷘,붼,븬
ㅂ/ㄷ,받,밷,뱓,뱯,벋,벧,볃,볟,볻,뵫,붇,뷷,븓,빋,봗,뵏,봳,붣,뷛,붿,븯
ㅂ/ㄹ,발,밸,뱔,뱰,벌,벨,별,볠,볼,뵬,불,뷸,블,빌,봘,뵐,봴,붤,뷜,뷀,븰
ㅂ/ㅁ,밤,뱀,뱜,뱸,범,벰,볌,볨,봄,뵴,붐,븀,븜,빔,봠,뵘,봼,붬,뷤,뷈,븸
ㅂ/ㅂ,밥,뱁,뱝,뱹,법,벱,볍,볩,봅,뵵,붑,븁,븝,빕,봡,뵙,봽,붭,뷥,뷉,븹
ㅂ/ㅅ,밧,뱃,뱟,뱻,벗,벳,볏,볫,봇,뵷,붓,븃,븟,빗,봣,뵛,봿,붯,뷧,뷋,븻
ㅂ/ㅇ,방,뱅,뱡,뱽,벙,벵,병,볭,봉,뵹,붕,븅,븡,빙,봥,뵝,뵁,붱,뷩,뷍,븽
ㅂ/ㅈ,밪,뱆,뱢,뱾,벚,벶,볒,볮,봊,뵺,붖,븆,븢,빚,봦,뵞,뵂,붲,뷪,뷎,븾
ㅂ/ㅊ,밫,뱇,뱣,뱿,벛,벷,볓,볯,봋,뵻,붗,븇,븣,빛,봧,뵟,뵃,붳,뷫,뷏,븿
ㅂ/ㅋ,밬,뱈,뱤,벀,벜,벸,볔,볰,봌,뵼,붘,븈,븤,빜,봨,뵠,뵄,붴,뷬,뷐,빀
ㅂ/ㅌ,밭,뱉,뱥,벁,벝,벹,볕,볱,봍,뵽,붙,븉,븥,빝,봩,뵡,뵅,붵,뷭,뷑,빁
ㅂ/ㅍ,밮,뱊,뱦,벂,벞,벺,볖,볲,봎,뵾,붚,븊,븦,빞,봪,뵢,뵆,붶,뷮,뷒,빂
ㅂ/ㅎ,밯,뱋,뱧,벃,벟,벻,볗,볳,봏,뵿,붛,븋,븧,빟,봫,뵣,뵇,붷,뷯,뷓,빃
ㅂ/ㄲ,밖,밲,뱎,뱪,벆,벢,벾,볚,볶,뵦,붂,뷲,븎,빆,봒,뵊,봮,붞,뷖,붺,븪
ㅂ/ㄳ,밗,밳,뱏,뱫,벇,벣,벿,볛,볷,뵧,붃,뷳,븏,빇,봓,뵋,봯,붟,뷗,붻,븫
ㅂ/ㄵ,밙,밵,뱑,뱭,벉,벥,볁,볝,볹,뵩,붅,뷵,븑,빉,봕,뵍,봱,붡,뷙,붽,븭
ㅂ/ㄶ,밚,밶,뱒,뱮,벊,벦,볂,볞,볺,뵪,붆,뷶,븒,빊,봖,뵎,봲,붢,뷚,붾,븮
ㅂ/ㄺ,밝,밹,뱕,뱱,벍,벩,볅,볡,볽,뵭,붉,뷹,븕,빍,봙,뵑,봵,붥,뷝,뷁,븱
ㅂ/ㄻ,밞,밺,뱖,뱲,벎,벪,볆,볢,볾,뵮,붊,뷺,븖,빎,봚,뵒,봶,붦,뷞,뷂,븲
ㅂ/ㄼ,밟,밻,뱗,뱳,벏,벫,볇,볣,볿,뵯,붋,뷻,븗,빏,봛,뵓,봷,붧,뷟,뷃,븳
ㅂ/ㄽ,밠,밼,뱘,뱴,벐,벬,볈,볤,봀,뵰,붌,뷼,븘,빐,봜,뵔,봸,붨,뷠,뷄,븴
ㅂ/ㄾ,밡,밽,뱙,뱵,벑,벭,볉,볥,봁,뵱,붍,뷽,븙,빑,봝,뵕,봹,붩,뷡,뷅,븵
ㅂ/ㄿ,밢,밾,뱚,뱶,벒,벮,볊,볦,봂,뵱,붎,뷾,븚,빒,봞,뵖,봺,붪,뷢,뷆,븶
ㅂ/ㅀ,밣,밿,뱛,뱷,벓,벯,볋,볧,봃,뵳,붏,뷿,븛,빓,봟,뵗,봻,붫,뷣,뷇,븷
ㅂ/ㅄ,밦,뱂,뱞,뱺,벖,벲,볎,볪,봆,뵶,붒,븂,븞,빖,봢,뵚,봾,붮,뷦,뷊,븺
ㅂ/ㅆ,밨,뱄,뱠,뱼,벘,벴,볐,볬,봈,뵸,붔,븄,븠,빘,봤,뵜,뵀,붰,뷨,뷌,븼
ㅃ/:,빠,빼,뺘,뺴,뻐,뻬,뼈,뼤,뽀,뾰,뿌,쀼,쁘,삐,뽜,뾔,뽸,뿨,쀠,쀄,쁴
ㅃ/ㄱ,빡,빽,뺙,뺵,뻑,뻭,뼉,뼥,뽁,뾱,뿍,쀽,쁙,삑,뽝,뾕,뽹,뿩,쀡,쀅,쁵
ㅃ/ㄴ,빤,뺀,뺜,뺸,뻔,뻰,뼌,뼨,뽄,뾴,뿐,쁀,쁜,삔,뽠,뾘,뽼,뿬,쀤,쀈,쁸
ㅃ/ㄷ,빧,뺃,뺟,뺻,뻗,뻳,뼏,뼫,뽇,뾷,뿓,쁃,쁟,삗,뽣,뾛,뽿,뿯,쀧,쀋,쁻
ㅃ/ㄹ,빨,뺄,뺠,뺼,뻘,뻴,뼐,뼬,뽈,뾸,뿔,쁄,쁠,삘,뽤,뾜,뾀,뿰,쀨,쀌,쁼
ㅃ/ㅁ,빰,뺌,뺨,뻄,뻠,뻼,뼘,뼴,뽐,뿀,뿜,쁌,쁨,삠,뽬,뾤,뾈,뿸,쀰,쀔,삄
ㅃ/ㅂ,빱,뺍,뺩,뻅,뻡,뻽,뼙,뼵,뽑,뿁,뿝,쁍,쁩,삡,뽭,뾥,뾉,뿹,쀱,쀕,삅
ㅃ/ㅅ,빳,뺏,뺫,뻇,뻣,뻿,뼛,뼷,뽓,뿃,뿟,쁏,쁫,삣,뽯,뾧,뾋,뿻,쀳,쀗,삇
ㅃ/ㅇ,빵,뺑,뺭,뻉,뻥,뼁,뼝,뼹,뽕,뿅,뿡,쁑,쁭,삥,뽱,뾩,뾍,뿽,쀵,쀙,삉
ㅃ/ㅈ,빶,뺒,뺮,뻊,뻦,뼂,뼞,뼺,뽖,뿆,뿢,쁒,쁮,삦,뽲,뾪,뾎,뿾,쀶,쀚,삊
ㅃ/ㅊ,빷,뺓,뺯,뻋,뻧,뼃,뼟,뼻,뽗,뿇,뿣,쁓,쁯,삧,뽳,뾫,뾏,뿿,쀷,쀛,삋
ㅃ/ㅋ,빸,뺔,뺰,뻌,뻨,뼄,뼠,뼼,뽘,뿈,뿤,쁔,쁰,삨,뽴,뾬,뾐,쀀,쀸,쀜,삌
ㅃ/ㅌ,빹,뺕,뺱,뻍,뻩,뼅,뼡,뼽,뽙,뿉,뿥,쁕,쁱,삩,뽵,뾭,뾑,쀁,쀹,쀝,삍
ㅃ/ㅍ,빺,뺖,뺲,뻎,뻪,뼆,뼢,뼾,뽚,뿊,뿦,쁖,쁲,삪,뽶,뾮,뾒,쀂,쀺,쀞,삎
ㅃ/ㅎ,빻,뺗,뺳,뻏,뻫,뼇,뼣,뼿,뽛,뿋,뿧,쁗,쁳,삫,뽷,뾯,뾓,쀃,쀻,쀟,삏
ㅃ/ㄲ,빢,빾,뺚,뺶,뻒,뻮,뼊,뼦,뽂,뾲,뿎,쀾,쁚,삒,뽞,뾖,뽺,뿪,쀢,쀆,쁶
ㅃ/ㄳ,빣,빿,뺛,뺷,뻓,뻯,뼋,뼧,뽃,뾳,뿏,쀿,쁛,삓,뽟,뾗,뽻,뿫,쀣,쀇,쁷
ㅃ/ㄵ,빥,뺁,뺝,뺹,뻕,뻱,뼍,뼩,뽅,뾵,뿑,쁁,쁝,삕,뽡,뾙,뽽,뿭,쀥,쀉,쁹
ㅃ/ㄶ,빦,뺂,뺞,뺺,뻖,뻲,뼎,뼪,뽆,뾶,뿒,쁂,쁞,삖,뽢,뾚,뽾,뿮,쀦,쀊,쁺
ㅃ/ㄺ,빩,뺅,뺡,뺽,뻙,뻵,뼑,뼭,뽉,뾹,뿕,쁅,쁡,삙,뽥,뾝,뾁,뿱,쀩,쀍,쁽
ㅃ/ㄻ,빪,뺆,뺢,뺾,뻚,뻶,뼒,뼮,뽊,뾺,뿖,쁆,쁢,삚,뽦,뾞,뾂,뿲,쀪,쀎,쁾
ㅃ/ㄼ,빫,뺇,뺣,뺿,뻛,뻷,뼓,뼯,뽋,뾻,뿗,쁇,쁣,삛,뽧,뾟,뾃,뿳,쀫,쀏,쁿
ㅃ/ㄽ,빬,뺈,뺤,뻀,뻜,뻸,뼔,뼰,뽌,뾼,뿘,쁈,쁤,삜,뽨,뾠,뾄,뿴,쀬,쀐,삀
ㅃ/ㄾ,빭,뺉,뺥,뻁,뻝,뻹,뼕,뼱,뽍,뾽,뿙,쁉,쁥,삝,뽩,뾡,뾅,뿵,쀭,쀑,삁
ㅃ/ㄿ,빮,뺊,뺦,뻂,뻞,뻺,뼖,뼲,뽎,뾽,뿚,쁊,쁦,삞,뽪,뾢,뾆,뿶,쀮,쀒,삂
ㅃ/ㅀ,빯,뺋,뺧,뻃,뻟,뼳,뼗,뼳,뽏,뾿,뿛,쁋,쁧,삟,뽫,뾣,뾇,뿷,쀯,쀓,삃
ㅃ/ㅄ,빲,뺎,뺪,뻆,뻢,뻾,뼚,뼶,뽒,뿂,뿞,쁎,쁪,삢,뽮,뾦,뾊,뿺,쀲,쀖,삆
ㅃ/ㅆ,빴,뺐,뺬,뻈,뻤,뼀,뼜,뼸,뽔,뿄,뿠,쁐,쁬,삤,뽰,뾨,뾌,뿻,쀴,쀘,삇
ㅅ/:,사,새,샤,섀,서,세,셔,셰,소,쇼,수,슈,스,시,솨,쇠,쇄,숴,쉬,쉐,싀
ㅅ/ㄱ,삭,색,샥,섁,석,섹,셕,셱,속,쇽,숙,슉,슥,식,솩,쇡,쇅,숵,쉭,쉑,싁
ㅅ/ㄴ,산,샌,샨,섄,선,센,션,셴,손,숀,순,슌,슨,신,솬,쇤,쇈,숸,쉰,쉔,싄
ㅅ/ㄷ,삳,샏,샫,섇,섣,섿,셛,셷,솓,숃,숟,슏,슫,싣,솯,쇧,쇋,숻,쉳,쉗,싇
ㅅ/ㄹ,살,샐,샬,섈,설,셀,셜,셸,솔,숄,술,슐,슬,실,솰,쇨,쇌,숼,쉴,쉘,싈
ㅅ/ㅁ,삼,샘,샴,섐,섬,셈,셤,솀,솜,숌,숨,슘,슴,심,솸,쇰,쇔,쉄,쉼,쉠,싐
ㅅ/ㅂ,삽,샙,샵,섑,섭,셉,셥,솁,솝,숍,숩,슙,습,십,솹,쇱,쇕,쉅,쉽,쉡,싑
ㅅ/ㅅ,삿,샛,샷,섓,섯,셋,셧,솃,솟,숏,숫,슛,슷,싯,솻,쇳,쇗,쉇,쉿,쉣,싓
ㅅ/ㅇ,상,생,샹,섕,성,셍,셩,솅,송,숑,숭,슝,승,싱,솽,쇵,쇙,쉉,슁,쉥,싕
ㅅ/ㅈ,샂,샞,샺,섖,섲,셎,셪,솆,솢,숒,숮,슞,슺,싲,솾,쇶,쇚,쉊,슂,쉦,싖
ㅅ/ㅊ,샃,샟,샻,섗,섳,셏,셫,솇,솣,숓,숯,슟,슻,싳,솿,쇷,쇛,쉋,슃,쉧,싗
ㅅ/ㅋ,샄,샠,샼,섘,섴,셐,셬,솈,솤,숔,숰,슠,슼,싴,쇀,쇸,쇜,쉌,슄,쉨,싘
ㅅ/ㅌ,샅,샡,샽,섙,섵,셑,셭,솉,솥,숕,숱,슡,슽,싵,쇁,쇹,쇝,쉍,슅,쉩,싙
ㅅ/ㅍ,샆,샢,샾,섚,섶,셒,셮,솊,솦,숖,숲,슢,슾,싶,쇂,쇺,쇞,쉎,슆,쉪,싚
ㅅ/ㅎ,샇,샣,샿,섛,섷,셓,셯,솋,솧,숗,숳,슣,슿,싷,쇃,쇻,쇟,쉏,슇,쉫,싛
ㅅ/ㄲ,삮,샊,샦,섂,섞,섺,셖,셲,솎,쇾,숚,슊,슦,싞,솪,쇢,쇆,숶,쉮,쉒,싂
ㅅ/ㄳ,삯,샋,샧,섃,섟,섻,셗,셳,솏,쇿,숛,슋,슧,싟,솫,쇣,쇇,숷,쉯,쉓,싃
ㅅ/ㄵ,삱,샍,샩,섅,섡,섽,셙,셵,솑,숁,숝,슍,슩,싡,솭,쇥,쇉,숹,쉱,쉕,싅
ㅅ/ㄶ,삲,샎,샪,섆,섢,섾,셚,셶,솒,숂,숞,슎,슪,싢,솮,쇦,쇊,숺,쉲,쉖,싆
ㅅ/ㄺ,삵,샑,샭,섉,섥,셁,셝,셹,솕,숅,숡,슑,슭,싥,솱,쇩,쇍,숽,쉵,쉙,싉
ㅅ/ㄻ,삶,샒,샮,섊,섦,셂,셞,셺,솖,숆,숢,슒,슮,싦,솲,쇪,쇎,숾,쉶,쉚,싊
ㅅ/ㄼ,삷,샓,샯,섋,섧,셃,셟,셻,솗,숇,숣,슓,슯,싧,솳,쇫,쇏,숿,쉷,쉛,싋
ㅅ/ㄽ,삸,샔,샰,섌,섨,셄,셠,셼,솘,숈,숤,슔,슰,싨,솴,쇬,쇐,쉀,쉸,쉜,싌
ㅅ/ㄾ,삹,샕,샱,섍,섩,셅,셡,셽,솙,숉,숥,슕,슱,싩,솵,쇭,쇑,쉁,쉹,쉝,싍
ㅅ/ㄿ,삺,샖,샲,섎,섪,셆,셢,셾,솚,숉,숦,슖,슲,싪,솶,쇮,쇒,쉂,쉺,쉞,싎
ㅅ/ㅀ,삻,샗,샳,섏,섫,셇,셣,셿,솛,숋,숧,슗,슳,싫,솷,쇯,쇓,쉃,쉻,쉟,싏
ㅅ/ㅄ,삾,샚,샶,섒,섮,셊,셦,솂,솞,숎,숪,슚,슶,싮,솺,쇲,쇖,쉆,쉾,쉢,싒
ㅅ/ㅆ,샀,샜,샸,섔,섰,셌,셨,솄,솠,숐,숬,슜,슸,싰,솼,쇴,쇘,쉈,슀,쉤,싔
ㅆ/:,싸,쌔,쌰,썌,써,쎄,쎠,쎼,쏘,쑈,쑤,쓔,쓰,씨,쏴,쐬,쐐,쒀,쒸,쒜,씌
ㅆ/ㄱ,싹,쌕,쌱,썍,썩,쎅,쎡,쎽,쏙,쑉,쑥,쓕,쓱,씩,쏵,쐭,쐑,쒁,쒹,쒝,씍
ㅆ/ㄴ,싼,쌘,쌴,썐,썬,쎈,쎤,쏀,쏜,쑌,쑨,쓘,쓴,씬,쏸,쐰,쐔,쒄,쒼,쒠,씐
ㅆ/ㄷ,싿,쌛,쌷,썓,썯,쎋,쎧,쏃,쏟,쑏,쑫,쓛,쓷,씯,쏻,쐳,쐗,쒇,쒿,쒣,씓
ㅆ/ㄹ,쌀,쌜,쌸,썔,썰,쎌,쎨,쏄,쏠,쑐,쑬,쓜,쓸,씰,쏼,쐴,쐘,쒈,쓀,쒤,씔
ㅆ/ㅁ,쌈,쌤,썀,썜,썸,쎔,쎰,쏌,쏨,쑘,쑴,쓤,씀,씸,쐄,쐼,쐠,쒐,쓈,쒬,씜
ㅆ/ㅂ,쌉,쌥,썁,썝,썹,쎕,쎱,쏍,쏩,쑙,쑵,쓥,씁,씹,쐅,쐽,쐡,쒑,쓉,쒭,씝
ㅆ/ㅅ,쌋,쌧,썃,썟,썻,쎗,쎳,쏏,쏫,쑛,쑷,쓧,씃,씻,쐇,쐿,쐣,쒓,쓋,쒯,씟
ㅆ/ㅇ,쌍,쌩,썅,썡,썽,쎙,쎵,쏑,쏭,쑝,쑹,쓩,씅,씽,쐉,쑁,쐥,쒕,쓍,쒱,씡
ㅆ/ㅈ,쌎,쌪,썆,썢,썾,쎚,쎶,쏒,쏮,쑞,쑺,쓪,씆,씾,쐊,쑂,쐦,쒖,쓎,쒲,씢
ㅆ/ㅊ,쌏,쌫,썇,썣,썿,쎛,쎷,쏓,쏯,쑟,쑻,쓫,씇,씿,쐋,쑃,쐧,쒗,쓏,쒳,씣
ㅆ/ㅋ,쌐,쌬,썈,썤,쎀,쎜,쎸,쏔,쏰,쑠,쑼,쓬,씈,앀,쐌,쑄,쐨,쒘,쓐,쒴,씤
ㅆ/ㅌ,쌑,쌭,썉,썥,쎁,쎝,쎹,쏕,쏱,쑡,쑽,쓭,씉,앁,쐍,쑅,쐩,쒙,쓑,쒵,씥
ㅆ/ㅍ,쌒,쌮,썊,썦,쎂,쎞,쎺,쏖,쏲,쑢,쑾,쓮,씊,앂,쐎,쑆,쐪,쒚,쓒,쒶,씦
ㅆ/ㅎ,쌓,쌯,썋,썧,쎃,쎟,쎻,쏗,쏳,쑣,쑿,쓯,씋,앃,쐏,쑇,쐫,쒛,쓓,쒷,씧
ㅆ/ㄲ,싺,쌖,쌲,썎,썪,쎆,쎢,쎾,쏚,쑊,쑦,쓖,쓲,씪,쏶,쐮,쐒,쒂,쒺,쒞,씎
ㅆ/ㄳ,싻,쌗,쌳,썏,썫,쎇,쎣,쎿,쏛,쑋,쑧,쓗,쓳,씫,쏷,쐯,쐓,쒃,쒻,쒟,씏
ㅆ/ㄵ,싽,쌙,쌵,썑,썭,쎉,쎥,쏁,쏝,쑍,쑩,쓙,쓵,씭,쏹,쐱,쐕,쒅,쒽,쒡,씑
ㅆ/ㄶ,싾,쌚,쌶,썒,썮,쎊,쎦,쏂,쏞,쑎,쑪,쓚,쓶,씮,쏺,쐲,쐖,쒆,쒾,쒢,씒
ㅆ/ㄺ,쌁,쌝,쌹,썕,썱,쎍,쎩,쏅,쏡,쑑,쑭,쓝,쓹,씱,쏽,쐵,쐙,쒉,쓁,쒥,씕
ㅆ/ㄻ,쌂,쌞,쌺,쌞,썲,쎎,쎪,쏆,쏢,쑒,쑮,쓞,쓺,씲,쏾,쐶,쐚,쒊,쓂,쒦,씖
ㅆ/ㄼ,쌃,쌟,쌻,썗,썳,쎏,쎫,쏇,쏣,쑓,쑯,쓟,쓻,씳,쏿,쐷,쐛,쒋,쓃,쒧,씗
ㅆ/ㄽ,쌄,쌠,쌼,썘,썴,쏈,쎬,쏈,쏤,쑔,쑰,쓠,쓼,씴,쐀,쐸,쐜,쒌,쓄,쒨,씘
ㅆ/ㄾ,쌅,쌡,쌽,썙,썵,쎑,쎭,쏉,쏥,쑕,쑱,쓡,쓽,씵,쐁,쐹,쐝,쒍,쓅,쒩,씙
ㅆ/ㄿ,쌆,쌢,쌾,썚,썶,쎒,쎮,쏊,쏦,쑕,쑲,쓢,쓾,씶,쐂,쐺,쐞,쒎,쓆,쒪,씚
ㅆ/ㅀ,쌇,쌣,쌿,썛,썷,쎓,쎯,쏋,쏧,쑗,쑳,쓣,쓿,씷,쐃,쐻,쐟,쒏,쓇,쒫,씛
ㅆ/ㅄ,쌊,쌦,썂,썞,썺,쎖,쎲,쏎,쏪,쑚,쑶,쓦,씂,씺,쐆,쐾,쐢,쒒,쓊,쒮,씞
ㅆ/ㅆ,쌌,쌨,썄,썠,썼,쎘,쎴,쏐,쏬,쑜,쑸,쓨,씄,씼,쐈,쑀,쐤,쒔,쓌,쒰,씠
ㅇ/:,아,애,야,얘,어,에,여,예,오,요,우,유,으,이,와,외,왜,워,위,웨,의
ㅇ/ㄱ,악,액,약,얙,억,엑,역,옉,옥,욕,욱,육,윽,익,왁,왹,왝,웍,윅,웩,읙
ㅇ/ㄴ,안,앤,얀,얜,언,엔,연,옌,온,욘,운,윤,은,인,완,왼,왠,원,윈,웬,읜
ㅇ/ㄷ,앋,앧,얃,얟,얻,엗,엳,옏,옫,욛,욷,윧,읃,읻,왇,왿,왣,웓,윋,웯,읟
ㅇ/ㄹ,알,앨,얄,얠,얼,엘,열,옐,올,욜,울,율,을,일,왈,욀,왤,월,윌,웰,읠
ㅇ/ㅁ,암,앰,얌,얨,엄,엠,염,옘,옴,욤,움,윰,음,임,왐,욈,왬,웜,윔,웸,읨
ㅇ/ㅂ,압,앱,얍,얩,업,엡,엽,옙,옵,욥,웁,윱,읍,입,왑,욉,왭,웝,윕,웹,읩
ㅇ/ㅅ,앗,앳,얏,얫,엇,엣,엿,옛,옷,욧,웃,윳,읏,잇,왓,욋,왯,웟,윗,웻,읫
ㅇ/ㅇ,앙,앵,양,얭,엉,엥,영,옝,옹,용,웅,융,응,잉,왕,욍,왱,웡,윙,웽,읭
ㅇ/ㅈ,앚,앶,얒,얮,엊,엦,혖,옞,옺,욪,웆,윶,읒,잊,왖,욎,왲,웢,윚,웾,읮
ㅇ/ㅊ,앛,앷,얓,얯,엋,엧,옃,옟,옻,욫,웇,윷,읓,잋,왗,욏,왳,웣,윛,웿,읯
ㅇ/ㅋ,앜,앸,얔,얰,엌,엨,옄,옠,옼,욬,웈,윸,읔,잌,왘,욐,왴,웤,윜,윀,읰
ㅇ/ㅌ,앝,앹,얕,얱,엍,엩,옅,옡,옽,욭,웉,윹,읕,잍,왙,욑,왵,웥,윝,윁,읱
ㅇ/ㅍ,앞,앺,얖,얲,엎,엪,옆,옢,옾,욮,웊,윺,읖,잎,왚,욒,왶,웦,윞,윂,읲
ㅇ/ㅎ,앟,앻,얗,얳,엏,엫,옇,옣,옿,욯,웋,윻,읗,잏,왛,욓,왷,웧,윟,윃,읳
ㅇ/ㄲ,앆,앢,앾,얚,얶,엒,엮,옊,옦,욖,욲,윢,윾,읶,왂,왺,왞,웎,윆,웪,읚
ㅇ/ㄳ,앇,앣,앿,얛,얷,엓,엯,옋,옧,욗,욳,윣,윿,읷,왃,왻,왟,웏,윇,웫,읛
ㅇ/ㄵ,앉,앥,얁,얝,얹,엕,엱,옍,옩,욙,욵,윥,읁,읹,왅,왽,왡,웑,윉,웭,읝
ㅇ/ㄶ,않,앦,얂,얞,얺,엖,엲,옎,옪,욚,욶,윦,읂,읺,왆,왾,왢,웒,윊,웮,읞
ㅇ/ㄺ,앍,앩,얅,얡,얽,엙,엵,옑,옭,욝,욹,윩,읅,읽,왉,욁,왥,웕,윍,웱,읡
ㅇ/ㄻ,앎,앪,얆,얢,얾,엚,엶,옒,옮,욞,욺,윪,읆,읾,왊,욂,왦,웖,윎,웲,읢
