/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,갖,깢,낮,닺,땆,랒,맞,밪,빶,샂,쌎,앚,잦,짲,찾,캊,탖,팢,핮
ㅐ,갲,깾,냊,댖,땢,랮,맺,뱆,뺒,샞,쌪,앶,쟂,쨎,챚,캦,탲,팾,햊
ㅑ,걎,꺚,냦,댲,땾,럊,먖,뱢,뺮,샺,썆,얒,쟞,쨪,챶,컂,턎,퍚,햦
ㅒ,걪,깾,넂,덎,떚,럦,먲,뱾,뻊,섖,썢,얮,쟺,쩆,첒,컞,턪,퍶,헂
ㅓ,겆,껒,넞,덪,떶,렂,멎,벚,뻦,섲,썾,엊,젖,쩢,첮,컺,텆,펒,헞
ㅔ,겢,껮,넺,뎆,뗒,렞,멪,벶,뼂,셎,쎚,엦,젲,쩾,쳊,켖,텢,펮,헺
ㅕ,겾,꼊,녖,뎢,뗮,렺,몆,볒,뼞,셪,쎶,혖,졎,쪚,쳦,켲,텾,폊,혖
ㅖ,곚,꼦,녲,뎾,똊,롖,몢,볮,뼺,솆,쏒,옞,졪,쪶,촂,콎,톚,폦,혲
ㅗ,곶,꽂,놎,돚,똦,롲,몾,봊,뽖,솢,쏮,옺,좆,쫒,촞,콪,톶,퐂,홎
ㅛ,굦,꾲,뇾,둊,뚖,룢,묮,뵺,뿆,숒,쑞,욪,죶,쭂,춎,쿚,툦,푲,횾
ㅜ,궂,꿎,눚,둦,뚲,룾,뭊,붖,뿢,숮,쑺,웆,줒,쭞,춪,쿶,퉂,풎,훚
ㅠ,귲,뀾,늊,듖,뜢,륮,뮺,븆,쁒,슞,쓪,윶,즂,쯎,츚,큦,튲,퓾,흊
ㅡ,긎,끚,늦,듲,뜾,릊,믖,븢,쁮,슺,씆,읒,즞,쯪,츶,킂,틎,픚,흦
ㅣ,깆,낒,닞,딪,띶,맂,밎,빚,삦,싲,씾,잊,짖,찢,칮,킺,팆,핒,힞
ㅘ,괒,꽞,놪,돶,뙂,뢎,뫚,봦,뽲,솾,쐊,왖,좢,쫮,촺,쾆,퇒,퐞,홪
ㅚ,굊,꾖,뇢,됮,뙺,룆,묒,뵞,뾪,쇶,쑂,욎,죚,쬦,쵲,쾾,툊,푖,횢
ㅙ,괮,꽺,뇆,됒,뙞,뢪,뫶,뵂,뾎,쇚,쐦,왲,좾,쬊,쵖,쾢,퇮,퐺,횆
ㅝ,궞,꿪,눶,뒂,뛎,뤚,뭦,붲,뿾,쉊,쒖,웢,줮,쭺,췆,퀒,퉞,풪,훶
ㅟ,귖,뀢,뉮,뒺,뜆,륒,뮞,뷪,쀶,슂,쓎,윚,쥦,쮲,췾,큊,튖,퓢,휮
ㅞ,궺,뀆,뉒,뒞,뛪,뤶,뮂,뷎,쀚,쉦,쒲,웾,쥊,쮖,췢,퀮,퉺,퓆,휒
ㅢ,긪,끶,닂,딎,띚,릦,믲,븾,삊,싖,씢,읮,즺,찆,칒,킞,틪,픶,힂
