/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,간,깐,난,단,딴,란,만,반,빤,산,싼,안,잔,짠,찬,칸,탄,판,한
ㅐ,갠,깬,낸,댄,땐,랜,맨,밴,뺀,샌,쌘,앤,잰,짼,챈,캔,탠,팬,핸
ㅑ,갼,꺈,냔,댠,땬,랸,먄,뱐,뺜,샨,쌴,얀,쟌,쨘,챤,캰,탼,퍈,햔
ㅒ,걘,꺤,냰,댼,떈,럔,먠,뱬,뺸,섄,썐,얜,쟨,쨴,첀,컌,턘,퍤,햰
ㅓ,건,껀,넌,던,떤,런,먼,번,뻔,선,썬,언,전,쩐,천,컨,턴,펀,헌
ㅔ,겐,껜,넨,덴,뗀,렌,멘,벤,뻰,센,쎈,엔,젠,쩬,첸,켄,텐,펜,헨
ㅕ,견,껸,년,뎐,뗜,련,면,변,뼌,션,쎤,연,젼,쪈,쳔,켠,텬,편,현
ㅖ,곈,꼔,녠,뎬,뗸,롄,몐,볜,뼨,셴,쏀,옌,졘,쪤,쳰,켼,톈,폔,혠
ㅗ,곤,꼰,논,돈,똔,론,몬,본,뽄,손,쏜,온,존,쫀,촌,콘,톤,폰,혼
ㅛ,굔,꾠,뇬,됸,뚄,룐,묜,뵨,뾴,숀,쑌,욘,죤,쬰,쵼,쿈,툔,푠,횬
ㅜ,군,꾼,눈,둔,뚠,룬,문,분,뿐,순,쑨,운,준,쭌,춘,쿤,툰,푼,훈
ㅠ,균,뀬,뉸,듄,뜐,륜,뮨,뷴,쁀,슌,쓘,윤,쥰,쮼,츈,큔,튠,퓬,휸
ㅡ,근,끈,는,든,뜬,른,믄,븐,쁜,슨,쓴,은,즌,쯘,츤,큰,튼,픈,흔
ㅣ,긴,낀,닌,딘,띤,린,민,빈,삔,신,씬,인,진,찐,친,킨,틴,핀,힌
ㅘ,관,꽌,놘,돤,똰,롼,뫈,봔,뽠,솬,쏸,완,좐,쫜,촨,콴,퇀,퐌,환
ㅚ,괸,꾄,뇐,된,뙨,뢴,묀,뵌,뾘,쇤,쐰,왼,죈,쬔,쵠,쾬,퇸,푄,횐
ㅙ,괜,꽨,놴,됀,뙌,뢘,뫤,봰,뽼,쇈,쐔,왠,좬,쫸,쵄,쾐,퇜,퐨,홴
ㅝ,권,꿘,눤,둰,뚼,뤈,뭔,붠,뿬,숸,쒄,원,줜,쭨,춴,퀀,퉌,풘,훤
ㅟ,귄,뀐,뉜,뒨,뛴,륀,뮌,뷘,쀤,쉰,쒼,윈,쥔,쮠,췬,퀸,튄,퓐,휜
ㅞ,궨,꿴,뉀,뒌,뛘,뤤,뭰,붼,쀈,쉔,쒠,웬,줸,쮄,췐,퀜,퉨,풴,휀
ㅢ,긘,끤,늰,듼,띈,릔,믠,븬,쁸,싄,씐,읜,즨,쯴,칀,킌,틘,픤,흰
