/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,갑,깝,납,답,땁,랍,맙,밥,빱,삽,쌉,압,잡,짭,찹,캅,탑,팝,합
ㅐ,갭,깹,냅,댑,땝,랩,맵,뱁,뺍,샙,쌥,앱,잽,쨉,챕,캡,탭,팹,햅
ㅑ,걉,꺕,냡,댭,땹,럅,먑,뱝,뺩,샵,썁,얍,쟙,쨥,챱,캽,턉,퍕,햡
ㅒ,걥,꺱,냽,덉,떕,럡,먭,뱹,뻅,섑,썝,얩,쟵,쩁,첍,컙,턥,퍱,햽
ㅓ,겁,껍,넙,덥,떱,럽,멉,법,뻡,섭,썹,업,접,쩝,첩,컵,텁,펍,헙
ㅔ,겝,껩,넵,뎁,뗍,렙,멥,벱,뻽,셉,쎕,엡,젭,쩹,쳅,켑,텝,펩,헵
ㅕ,겹,꼅,녑,뎝,뗩,렵,몁,볍,뼙,셥,쎱,엽,졉,쪕,쳡,켭,텹,폅,협
ㅖ,곕,껩,녭,뎹,똅,롑,몝,볩,뼵,솁,쏍,옙,졥,쪱,쳽,콉,톕,폡,혭
ㅗ,곱,꼽,놉,돕,똡,롭,몹,봅,뽑,솝,쏩,옵,좁,쫍,촙,콥,톱,폽,홉
ㅛ,굡,꾭,뇹,둅,뚑,룝,묩,뵵,뿁,숍,쑙,욥,죱,쬽,춉,쿕,툡,푭,횹
ㅜ,굽,꿉,눕,둡,뚭,룹,뭅,붑,뿝,숩,쑵,웁,줍,쭙,춥,쿱,툽,풉,훕
ㅠ,귭,뀹,늅,듑,뜝,륩,뮵,븁,쁍,슙,쓥,윱,쥽,쯉,츕,큡,튭,퓹,흅
ㅡ,급,끕,늡,듭,뜹,릅,믑,븝,쁩,습,씁,읍,즙,쯥,츱,큽,틉,픕,흡
ㅣ,깁,낍,닙,딥,띱,립,밉,빕,삡,십,씹,입,집,찝,칩,킵,팁,핍,힙
ㅘ,괍,꽙,놥,돱,똽,뢉,뫕,봡,뽭,솹,쐅,왑,좝,쫩,촵,쾁,퇍,퐙,홥
ㅚ,굅,꾑,뇝,됩,뙵,룁,묍,뵙,뾥,쇱,쐽,욉,죕,쬡,쵭,쾹,툅,푑,횝
ㅙ,괩,꽵,뇁,됍,뙙,뢥,뫱,봽,뾉,쇕,쐡,왭,좹,쬅,쵑,쾝,퇩,퐵,횁
ㅝ,궙,꿥,눱,둽,뛉,뤕,뭡,붭,뿹,쉅,쒑,웝,줩,쭵,췁,퀍,퉙,풥,훱
ㅟ,귑,뀝,뉩,뒵,뜁,륍,뮙,뷥,쀱,쉽,쓉,윕,쥡,쮭,췹,큅,튑,퓝,휩
ㅞ,궵,뀁,뉍,뒙,뛥,뤱,뭽,뷉,쀕,쉡,쒭,웹,쥅,쮑,췝,퀩,퉵,퓁,휍
ㅢ,긥,끱,늽,딉,띕,릡,믭,븹,삅,싑,씝,읩,즵,찁,칍,킙,틥,픱,흽
