/,ㄱ,ㄲ,ㄴ,ㄷ,ㄸ,ㄹ,ㅁ,ㅂ,ㅃ,ㅅ,ㅆ,ㅇ,ㅈ,ㅉ,ㅊ,ㅋ,ㅌ,ㅍ,ㅎ
ㅏ,가,까,나,다,따,라,마,바,빠,사,싸,아,자,짜,차,카,타,파,하
ㅐ,개,깨,내,대,때,래,매,배,빼,새,쌔,애,재,째,채,캐,태,패,해
ㅑ,갸,꺄,냐,댜,땨,랴,먀,뱌,뺘,샤,쌰,야,쟈,쨔,챠,캬,탸,퍄,햐
ㅒ,걔,꺠,냬,댸,떄,럐,먜,뱨,뺴,섀,썌,얘,쟤,쨰,챼,컈,턔,퍠,햬
ㅓ,거,꺼,너,더,떠,러,머,버,뻐,서,써,어,저,쩌,처,커,터,퍼,허
ㅔ,게,께,네,데,떼,레,메,베,뻬,세,쎄,에,제,쩨,체,케,테,페,헤
ㅕ,겨,껴,녀,뎌,뗘,려,며,벼,뼈,셔,쎠,여,져,쪄,쳐,켜,텨,펴,혀
ㅖ,계,꼐,녜,뎨,뗴,례,몌,볘,뼤,셰,쎼,예,졔,쪠,쳬,켸,톄,폐,혜
ㅗ,고,꼬,노,도,또,로,모,보,뽀,소,쏘,오,조,쪼,초,코,토,포,호
ㅛ,교,꾜,뇨,됴,뚀,료,묘,뵤,뾰,쇼,쑈,요,죠,쬬,쵸,쿄,툐,표,효
ㅜ,구,꾸,누,두,뚜,루,무,부,뿌,수,쑤,우,주,쭈,추,쿠,투,푸,후
ㅠ,규,뀨,뉴,듀,뜌,류,뮤,뷰,쀼,슈,쓔,유,쥬,쮸,츄,큐,튜,퓨,휴
ㅡ,그,끄,느,드,뜨,르,므,브,쁘,스,쓰,으,즈,쯔,츠,크,트,프,흐
ㅣ,기,끼,니,디,띠,리,미,비,삐,시,씨,이,지,찌,치,키,티,피,히
ㅘ,과,꽈,놔,돠,똬,롸,뫄,봐,뽜,솨,쏴,와,좌,쫘,촤,콰,톼,퐈,화
ㅚ,괴,꾀,뇌,되,뙤,뢰,뫼,뵈,뾔,쇠,쐬,외,죄,쬐,최,쾨,퇴,푀,회
ㅙ,괘,꽤,놰,돼,뙈,뢔,뫠,봬,뽸,쇄,쐐,왜,좨,쫴,쵀,쾌,퇘,퐤,홰
ㅝ,궈,꿔,눠,둬,뚸,뤄,뭐,붜,뿨,숴,쒀,워,줘,쭤,춰,쿼,퉈,풔,훠
ㅟ,귀,뀌,뉘,뒤,뛰,뤼,뮈,뷔,쀠,쉬,쒸,위,쥐,쮜,취,퀴,튀,퓌,휘
ㅞ,궤,꿰,눼,뒈,뛔,뤠,뭬,붸,쀄,쉐,쒜,웨,줴,쮀,췌,퀘,퉤,풰,훼
ㅢ,긔,끠,늬,듸,띄,릐,믜,븨,쁴,싀,씌,의,즤,쯰,츼,킈,틔,픠,희
